Lactobacillus delbrueckii
Lactobacillus farciminis
Lactobacillus fermentum
Lactobacillus gasseri
Lactobacillus helveticus
Lactobacillus hilgardii
Lactobacillus iners
Lactobacillus jensenii
Lactobacillus johnsonii
Lactobacillus oris
Lactobacillus paracasei
Lactobacillus plantarum
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus ruminis
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus ultunensis
Lactobacillus vaginalis
Lactococcus garvieae
Lactococcus lactis
Laribacter hongkongensis
Lawsonia intracellularis
Leadbetterella byssophila
Leeuwenhoekiella blandensis
Legionella drancourtii
Legionella longbeachae
Legionella pneumophila
Leifsonia xyli
Lentisphaera araneosa
Leptolyngbya valderiana
Leptospira biflexa
Leptospira borgpetersenii
Leptospira interrogans
Leptospirillum ferrooxidans
Leptothrix cholodnii
Leptotrichia buccalis
Leptotrichia goodfellowii
Leptotrichia hofstadii
Leuconostoc citreum
Leuconostoc gasicomitatum
Leuconostoc kimchii
Leuconostoc mesenteroides
Limnobacter sp.
Listeria grayi
Listeria innocua
Listeria ivanovii
Listeria marthii
Listeria monocytogenes
Listeria seeligeri
Listeria welshimeri
Listonella anguillarum
Loktanella vestfoldensis
Lutiella nitroferrum
Lyngbya sp.
Lysinibacillus fusiformis
Lysinibacillus sphaericus
Macrococcus caseolyticus
Magnetococcus sp.
Magnetospirillum gryphiswaldense
Magnetospirillum magneticum
Magnetospirillum magnetotacticum
Mannheimia haemolytica
Mannheimia succiniciproducens
Mannheimia varigena
Maribacter sp.
Maricaulis maris
Marinobacter algicola
Marinobacter hydrocarbonoclasticus
Marinobacter sp.
Marinococcus halophilus
Marinomonas sp.
Mariprofundus ferrooxydans
Maritimibacter alkaliphilus
Marivirga tractuosa
Marvinbryantia formatexigens
Megasphaera genomosp.
Megasphaera micronuciformis
Meiothermus ruber
Meiothermus silvanus
Mesoplasma florum
Mesorhizobium loti
Mesorhizobium opportunistum
Metallosphaera sedula
Methanobrevibacter ruminantium
Methanobrevibacter smithii
Methanocaldococcus fervens
Methanocaldococcus infernus
Methanocaldococcus jannaschii
Methanocaldococcus sp.
Methanocaldococcus vulcanius
Methanocella paludicola
Methanococcoides burtonii
Methanococcus aeolicus
Methanococcus maripaludis
Methanococcus vannielii
Methanococcus voltae
Methanocorpusculum labreanum
Methanoculleus marisnigri
Methanohalobium evestigatum
Methanohalophilus mahii
Methanoplanus petrolearius
Methanopyrus kandleri
Methanoregula boonei
Methanosaeta thermophila
Methanosarcina acetivorans
Methanosarcina barkeri
Methanosarcina mazei
Methanosphaera stadtmanae
Methanosphaerula palustris
Methanospirillum hungatei
Methanothermobacter marburgensis
Methanothermobacter thermautotrophicus
Methanothermococcus okinawensis
Methanothermus fervidus
Methylacidiphilum infernorum
Methylibium petroleiphilum
Methylobacillus flagellatus
Methylobacter tundripaludum
Methylobacterium chloromethanicum
Methylobacterium extorquens
Methylobacterium nodulans
Methylobacterium populi
Methylobacterium radiotolerans
Methylobacterium sp.
Methylocella silvestris
Methylococcus capsulatus
Methylophaga thalassica
Methylophaga thiooxydans
Methylophilales bacterium
Methylosinus trichosporium
Methylotenera mobilis
Methylotenera sp.
Methylovorus sp.
Micrococcus luteus
Micrococcus sp.
Microcoleus chthonoplastes
Microcystis aeruginosa
Micromonospora aurantiaca
Micromonospora rosaria
Micromonospora sp.
Microscilla marina
Microscilla sp.
Mitsuokella multacida
Mobiluncus curtisii
Mobiluncus mulieris
Moorella thermoacetica
Moraxella bovis
Moraxella catarrhalis
Moritella sp.
Mucilaginibacter paludis
Mycobacterium abscessus
Mycobacterium avium
Mycobacterium bovis
Mycobacterium celatum
Mycobacterium gilvum
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium liflandii
Mycobacterium marinum
Mycobacterium parascrofulaceum
Mycobacterium smegmatis
Mycobacterium sp.
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacterium vanbaalenii
Mycoplasma agalactiae
Mycoplasma alligatoris
Mycoplasma arthritidis
Mycoplasma bovis
Mycoplasma capricolum
Mycoplasma conjunctivae
Mycoplasma crocodyli
Mycoplasma fermentans
Mycoplasma gallisepticum
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma hyopneumoniae
Mycoplasma hyorhinis
Mycoplasma leachii
Mycoplasma mobile
Mycoplasma mycoides
Mycoplasma penetrans
Mycoplasma pneumoniae
Mycoplasma pulmonis
Mycoplasma synoviae
Myxococcus fulvus
Myxococcus xanthus
Nakamurella multipartita
Nanoarchaeum equitans
Natranaerobius thermophilus
Natrialba magadii
Natronomonas pharaonis
Nautilia profundicola
Neisseria cinerea
Neisseria elongata
Neisseria flavescens
Neisseria gonorrhoeae
Neisseria lactamica
Neisseria meningitidis
Neisseria mucosa
Neisseria polysaccharea
Neisseria sicca
Neisseria sp.
Neisseria subflava
Neorickettsia risticii
Neorickettsia sennetsu
Neptuniibacter caesariensis
Nitratiruptor sp.
Nitrobacter hamburgensis
Nitrobacter sp.
Nitrobacter winogradskyi
Nitrococcus mobilis
Nitrosococcus halophilus
Nitrosococcus oceani
Nitrosococcus watsoni
Nitrosomonas europaea
Nitrosomonas eutropha
Nitrosomonas sp.
Nitrosopumilus maritimus
Nitrosospira multiformis
Nocardia aobensis
Nocardia farcinica
Nocardia sp.
Nocardioides sp.
Nocardiopsis dassonvillei
Nodularia spumigena
Nostoc punctiforme
Nostoc sp.
Novosphingobium aromaticivorans
Oceanibulbus indolifex
Oceanicaulis sp.
Oceanicola batsensis
Oceanicola granulosus
Oceanithermus profundus
Oceanobacillus iheyensis
Ochrobactrum anthropi
Ochrobactrum intermedium
Octadecabacter antarcticus
Oenococcus oeni
Oligotropha carboxidovorans
Olsenella uli
Onion yellows
Opitutaceae bacterium
Opitutus terrae
Oribacterium sinus
Oribacterium sp.
Orientia tsutsugamushi
Ornithobacterium rhinotracheale
Oscillatoria sp.
Oscillochloris trichoides
Oxalobacter formigenes
Paenibacillus curdlanolyticus
Paenibacillus larvae
Paenibacillus polymyxa
Paenibacillus sp.
Paenibacillus vortex
Paludibacter propionicigenes
Pantoea ananatis
Pantoea citrea
Pantoea sp.
Pantoea vagans
Parabacteroides distasonis
Parabacteroides johnsonii
Parabacteroides merdae
Parabacteroides sp.
Parachlamydia acanthamoebae
Paracoccus aminophilus
Paracoccus denitrificans
Paracoccus methylutens
Paracoccus pantotrophus
Parascardovia denticolens
Parvibaculum lavamentivorans
Parvimonas micra
Parvularcula bermudensis
Pasteurella dagmatis
Pasteurella multocida
Pectobacterium atrosepticum
Pectobacterium carotovorum
Pectobacterium wasabiae
Pediococcus acidilactici
Pediococcus damnosus
Pediococcus pentosaceus
Pedobacter heparinus
Pedobacter saltans
Pedobacter sp.
Pelagibaca bermudensis
Pelobacter carbinolicus
Pelobacter propionicus
Pelodictyon luteolum
Pelodictyon phaeoclathratiforme
Pelotomaculum thermopropionicum
Peptoniphilus duerdenii
Peptoniphilus harei
Peptoniphilus lacrimalis
Peptoniphilus sp.
Peptostreptococcus anaerobius
Peptostreptococcus stomatis
Persephonella marina
Petrotoga mobilis
Phaeobacter gallaeciensis
Phenylobacterium zucineum
Photobacterium angustum
Photobacterium damselae
Photobacterium profundum
Photobacterium sp.
Photorhabdus asymbiotica
Photorhabdus luminescens
Picrophilus torridus
Pirellula staleyi
Planctomyces brasiliensis
Planctomyces limnophilus
Planctomyces maris
Planococcus sp.
Plesiocystis pacifica
Polaribacter irgensii
Polaribacter sp.
Polaromonas naphthalenivorans
Polaromonas sp.
Polynucleobacter necessarius
Porphyromonas asaccharolytica
Porphyromonas endodontalis
Porphyromonas gingivalis
Porphyromonas uenonis
Prevotella amnii
Prevotella bergensis
Prevotella bivia
Prevotella bryantii
Prevotella buccae
Prevotella buccalis
Prevotella copri
Prevotella disiens
Prevotella marshii
Prevotella melaninogenica
Prevotella oralis
Prevotella oris
Prevotella ruminicola
Prevotella sp.
Prevotella tannerae
Prevotella timonensis
Prevotella veroralis
Prochlorococcus marinus
Propionibacterium acnes
Propionibacterium freudenreichii
Propionibacterium jensenii
Prosthecochloris aestuarii
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Providencia alcalifaciens
Providencia rettgeri
Providencia rustigianii
Providencia stuartii
Pseudoalteromonas atlantica
Pseudoalteromonas haloplanktis
Pseudoalteromonas sp.
Pseudoalteromonas tunicata
Pseudomonas aeruginosa
Pseudomonas alcaligenes
Pseudomonas amygdali
Pseudomonas coronafaciens
Pseudomonas entomophila
Pseudomonas fluorescens
Pseudomonas mendocina
Pseudomonas putida
Pseudomonas savastanoi
Pseudomonas sp.
Pseudomonas stutzeri
Pseudomonas syringae
Pseudoramibacter alactolyticus
Pseudovibrio sp.
Psychrobacter arcticus
Psychrobacter cryohalolentis
Psychrobacter sp.
Psychroflexus torquis
Psychromonas ingrahamii
Psychromonas sp.
Pyramidobacter piscolens
Pyrobaculum aerophilum
Pyrobaculum arsenaticum
Pyrobaculum calidifontis
Pyrobaculum islandicum
Pyrococcus abyssi
Pyrococcus furiosus
Pyrococcus horikoshii
Ralstonia pickettii
Ralstonia solanacearum
Ralstonia sp.
Raphidiopsis brookii
Reinekea blandensis
Renibacterium salmoninarum
Rhizobium etli
Rhizobium leguminosarum
Rhodobacter blasticus
Rhodobacter capsulatus
Rhodobacter sp.
Rhodobacter sphaeroides
Rhodobacteraceae bacterium
Rhodobacterales bacterium
Rhodococcus equi
Rhodococcus erythropolis
Rhodococcus jostii
Rhodococcus opacus
Rhodococcus rhodochrous
Rhodococcus sp.
Rhodomicrobium vannielii
Rhodopirellula baltica
Rhodopseudomonas palustris
Rhodospirillum centenum
Rhodospirillum rubrum
Rhodothermus marinus
Rickettsia africae
Rickettsia akari
Rickettsia bellii
Rickettsia canadensis
Rickettsia conorii
Rickettsia endosymbiont
Rickettsia felis
Rickettsia massiliae
Rickettsia monacensis
Rickettsia peacockii
Rickettsia prowazekii
Rickettsia rickettsii
Rickettsia sibirica
Rickettsia typhi
Rickettsiella grylli
Riemerella anatipestifer
Robiginitalea biformata
Roseburia intestinalis
Roseburia inulinivorans
Roseibium sp.
Roseiflexus castenholzii
Roseiflexus sp.
Roseobacter denitrificans
Roseobacter litoralis
Roseobacter sp.
Roseomonas cervicalis
Roseovarius nubinhibens
Roseovarius sp.
Rothia dentocariosa
Rothia mucilaginosa
Rubrobacter xylanophilus
Ruegeria lacuscaerulensis
Ruegeria pomeroyi
Ruegeria sp.
Ruminococcaceae bacterium
Ruminococcus albus
Ruminococcus flavefaciens
Ruminococcus gnavus
Ruminococcus lactaris
Ruminococcus obeum
Ruminococcus sp.
Ruminococcus torques
Saccharomonospora viridis
Saccharophagus degradans
Saccharopolyspora erythraea
Sagittula stellata
Salinibacter ruber
Salinispora arenicola
Salinispora tropica
Salmonella enterica
Sanguibacter keddieii
Scardovia inopinata
Sebaldella termitidis
Segniliparus rotundus
Selenomonas flueggei
Selenomonas noxia
Selenomonas ruminantium
Selenomonas sp.
Selenomonas sputigena
Serratia entomophila
Serratia marcescens
Serratia odorifera
Serratia proteamaculans
Shewanella amazonensis
Shewanella baltica
Shewanella benthica
Shewanella denitrificans
Shewanella frigidimarina
Shewanella halifaxensis
Shewanella loihica
Shewanella oneidensis
Shewanella pealeana
Shewanella piezotolerans
Shewanella putrefaciens
Shewanella sediminis
Shewanella sp.
Shewanella violacea
Shewanella woodyi
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Shigella sp.
Shuttleworthia satelles
